,Area,Months,Element,Years,Temperature_Change
945,World,Meteorological year,Temperature change,1961,0.207
946,World,Meteorological year,Temperature change,1962,0.034
947,World,Meteorological year,Temperature change,1963,0.159
948,World,Meteorological year,Temperature change,1964,-0.253
949,World,Meteorological year,Temperature change,1965,-0.226
950,World,Meteorological year,Temperature change,1966,0.201
951,World,Meteorological year,Temperature change,1967,-0.114
952,World,Meteorological year,Temperature change,1968,-0.12
953,World,Meteorological year,Temperature change,1969,-0.09
954,World,Meteorological year,Temperature change,1970,0.153
955,World,Meteorological year,Temperature change,1971,-0.092
956,World,Meteorological year,Temperature change,1972,-0.195
957,World,Meteorological year,Temperature change,1973,0.275
958,World,Meteorological year,Temperature change,1974,-0.181
959,World,Meteorological year,Temperature change,1975,0.09
960,World,Meteorological year,Temperature change,1976,-0.311
961,World,Meteorological year,Temperature change,1977,0.271
962,World,Meteorological year,Temperature change,1978,0.004
963,World,Meteorological year,Temperature change,1979,0.225
964,World,Meteorological year,Temperature change,1980,0.33
965,World,Meteorological year,Temperature change,1981,0.439
966,World,Meteorological year,Temperature change,1982,0.078
967,World,Meteorological year,Temperature change,1983,0.452
968,World,Meteorological year,Temperature change,1984,0.12
969,World,Meteorological year,Temperature change,1985,-0.034
970,World,Meteorological year,Temperature change,1986,0.238
971,World,Meteorological year,Temperature change,1987,0.391
972,World,Meteorological year,Temperature change,1988,0.549
973,World,Meteorological year,Temperature change,1989,0.326
974,World,Meteorological year,Temperature change,1990,0.636
975,World,Meteorological year,Temperature change,1991,0.458
976,World,Meteorological year,Temperature change,1992,0.183
977,World,Meteorological year,Temperature change,1993,0.346
978,World,Meteorological year,Temperature change,1994,0.501
979,World,Meteorological year,Temperature change,1995,0.831
980,World,Meteorological year,Temperature change,1996,0.354
981,World,Meteorological year,Temperature change,1997,0.656
982,World,Meteorological year,Temperature change,1998,0.992
983,World,Meteorological year,Temperature change,1999,0.788
984,World,Meteorological year,Temperature change,2000,0.735
985,World,Meteorological year,Temperature change,2001,0.836
986,World,Meteorological year,Temperature change,2002,1.018
987,World,Meteorological year,Temperature change,2003,0.896
988,World,Meteorological year,Temperature change,2004,0.914
989,World,Meteorological year,Temperature change,2005,1.103
990,World,Meteorological year,Temperature change,2006,1.001
991,World,Meteorological year,Temperature change,2007,1.198
992,World,Meteorological year,Temperature change,2008,0.938
993,World,Meteorological year,Temperature change,2009,0.967
994,World,Meteorological year,Temperature change,2010,1.228
995,World,Meteorological year,Temperature change,2011,0.923
996,World,Meteorological year,Temperature change,2012,1.081
997,World,Meteorological year,Temperature change,2013,1.021
998,World,Meteorological year,Temperature change,2014,1.052
999,World,Meteorological year,Temperature change,2015,1.419
1000,World,Meteorological year,Temperature change,2016,1.674
1001,World,Meteorological year,Temperature change,2017,1.44
1002,World,Meteorological year,Temperature change,2018,1.301
1003,World,Meteorological year,Temperature change,2019,1.473
